v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   0 0 0 8 6 3      1411.6114502627    6.648e-07    928    98       R+
   0 0 0 8 6 2      1411.6418991755    5.022e-07    661    92       R+
   0 0 0 10 2 8     1437.9685899907    4.656e-06    709    90       R+
   0 0 0 10 3 8     1446.1282503095    5.691e-07   1016    96       R+
   0 0 0 9 5 5      1474.9807874060    2.594e-06    697    91       R+
   0 0 0 9 5 4      1477.2973795518    5.659e-07    917    97       R+
   0 0 0 11 1 10    1524.8478997517    3.577e-06    798    96       R+
   0 0 0 11 2 10    1525.1359949646    5.647e-06    517    86       R+
   0 0 0 10 3 7     1538.1494814480    5.499e-06    606    84       R+
   0 0 0 12 0 12    1557.8443750915    7.904e-05    449    84       R-
   0 0 0 12 1 12    1557.8477326540    2.627e-05    575    90       R-
   0 0 0 10 4 7     1581.3359908564    3.052e-06    933    97       R+
   0 0 0 8 7 2      1590.6900678730    6.715e-07    668    91       R+
   0 0 0 8 7 1      1590.6907131894    4.847e-07    575    81       R+
   0 1 0 0 0 0      1594.7461765159    2.160e-05     58    36       R+
   0 0 0 10 4 6     1616.4530582331    6.122e-06    562    80       R+
   0 1 0 1 0 1      1618.5570305511    1.188e-05    245    60       R+
   0 0 0 9 6 4      1631.2454856183    2.816e-06    524    80       R+
   0 0 0 9 6 3      1631.3830289276    2.248e-06    764    91       R+
   0 1 0 1 1 1      1634.9669702713    2.024e-05    178    54       R+
   0 1 0 1 1 0      1640.5057559731    1.183e-05    230    62       R+
   0 1 0 2 0 2      1664.9644597879    1.981e-05    234    60       R+
   0 1 0 2 1 2      1677.0613554386    1.184e-05    371    63       R+
   0 0 0 11 2 9     1690.6643925091    5.600e-06    784    95       R+
   0 1 0 2 1 1      1693.6498245813    2.104e-05    239    54       R+
   0 0 0 11 3 9     1695.0686213481    7.836e-06    523    77       R+
   0 0 0 10 5 6     1718.7188243232    5.011e-06    756    91       R+
   0 0 0 10 5 5     1724.7054004738    6.630e-06    536    82       R+
   0 1 0 3 0 3      1731.8965952482    1.282e-05    381    65       R+
   0 1 0 3 1 3      1739.4835868151    1.962e-05    279    54       R+
   0 1 0 2 2 1      1742.3055517250    1.166e-05    310    67       R+
   0 1 0 2 2 0      1743.4862194879    2.117e-05    226    56       R+
   0 1 0 3 1 2      1772.4133612868    1.195e-05    380    68       R+
   0 0 0 12 1 11    1774.6162782575    1.547e-05    434    79       R+
   0 0 0 12 2 11    1774.7511112638    7.578e-06    587    86       R+
   0 0 0 8 8 1      1789.0428423018    5.193e-06    341    73       R+
   0 0 0 8 8 0      1789.0428461786    8.323e-06    316    61       R+
   0 0 0 13 0 13    1806.6700215951    1.991e-05    446    83       R-
   0 0 0 13 1 13    1806.6715319930    4.994e-05    325    69       R+
   0 0 0 9 7 3      1810.5832854314    8.255e-06    448    74       R+
   0 0 0 9 7 2      1810.5879372262    4.625e-06    605    86       R+
   0 0 0 11 3 8     1813.2234136124    7.060e-06    678    91       R+
   0 1 0 3 2 2      1813.7874742905    1.963e-05    301    55       R+
   0 1 0 4 0 4      1817.4510670565    1.960e-05    268    54       R+
   0 1 0 3 2 1      1819.3350165487    1.177e-05    416    64       R+
   0 1 0 4 1 4      1821.5967135968    1.147e-05    420    65       R+
   0 0 0 11 4 8     1843.0296287927    7.331e-06    468    77       R+
   0 0 0 10 6 5     1874.9729912934    4.842e-06    604    86       R+
   0 0 0 10 6 4     1875.4618258737    6.780e-06    418    73       R+
   0 1 0 4 1 3      1875.4695896459    1.950e-05    284    56       R+
   0 0 0 11 4 7     1899.0081808760    7.430e-06    596    84       R+
   0 1 0 3 3 1      1907.4512911419    1.815e-05    200    54       R+
   0 1 0 3 3 0      1907.6156673060    1.205e-05    278    67       R+
   0 1 0 4 2 3      1908.0162378575    1.190e-05    446    67       R+
   0 1 0 5 0 5      1920.7664408737    1.686e-05    384    59       R+
   0 1 0 5 1 5      1922.8289454037    1.749e-05    297    57       R+
   0 1 0 4 2 2      1922.9009946955    1.819e-05    281    58       R+
   0 0 0 12 2 10    1960.2074185566    7.626e-06    416    74       R+
   0 0 0 12 3 10    1962.5069164787    7.896e-06    608    90       R+
   0 0 0 11 5 7     1985.7848994622    6.992e-06    434    74       R+
   0 0 0 11 5 6     1998.9953233755    6.737e-06    549    81       R+
   0 1 0 5 1 4      2000.8629291705    1.666e-05    410    63       R+
   0 1 0 4 3 2      2004.8155901816    1.707e-05    391    67       R+
   0 1 0 4 3 1      2005.9169179803    1.922e-05    252    52       R+
   0 0 0 9 8 2      2009.8050179250    9.338e-06    358    58       R+
   0 0 0 9 8 1      2009.8051043399    1.190e-05    396    73       R+
   0 1 0 5 2 4      2024.1525508389    1.917e-05    302    54       R+
   0 1 0 6 0 6      2041.7804261973    1.669e-05    263    58       R+
   0 0 0 13 1 12    2042.3105930675    1.418e-05    473    82       R+
   0 0 0 13 2 12    2042.3741030363    8.221e-06    309    73       R+
   0 1 0 6 1 6      2042.7532447159    1.449e-05    349    66       R+
   0 1 0 5 2 3      2053.9686010556    1.701e-05    425    66       R+
   0 0 0 10 7 4     2054.3452259115    1.190e-05    463    77       R+
   0 0 0 10 7 3     2054.3686720982    9.170e-06    291    67       R+
   0 0 0 14 0 14    2073.5155033225    1.086e-04    258    63       R+
   0 0 0 14 1 14    2073.5156318056    2.678e-05    338    75       R-
   0 0 0 12 3 9     2105.8679130574    8.025e-06    360    66       R+
   0 0 0 12 4 9     2124.9514090282    8.391e-06    528    81       R+
   0 1 0 5 3 3      2126.4076206009    1.817e-05    276    52       R+
   0 1 0 4 4 1      2129.5991046544    1.775e-05    265    58       R+
   0 1 0 4 4 0      2129.6185477088    1.826e-05    169    49       R+
   0 1 0 5 3 2      2130.4941996835    1.757e-05    388    61       R+
   0 0 0 11 6 6     2142.5976662452    8.458e-06    341    61       R+
   0 0 0 11 6 5     2144.0462759919    7.285e-06    510    79       R+
   0 1 0 6 1 5      2146.2636276925    1.578e-05    254    55       R+
   0 1 0 6 2 5      2161.2859445116    1.437e-05    421    65       R+
   0 1 0 7 0 7      2180.6428206028    1.565e-05    335    67       R+
   0 1 0 7 1 7      2181.0897801412    2.200e-05    218    55       R+
   0 0 0 12 4 8     2205.6527501840    1.631e-05    304    62       R+
   0 1 0 6 2 4      2211.1905388706    1.996e-05    263    54       R+
   0 0 0 9 9 1      2225.4691371413    4.486e-05    217    43       R-
   0 0 0 9 9 0      2225.4691381413    4.284e-05    225    61       R-
   0 0 0 13 2 11    2246.8848231103    1.642e-05    442    75       R+
   0 0 0 13 3 11    2248.0645029050    2.726e-05    281    60       R+
   0 1 0 5 4 2      2251.6952127061    2.059e-05    201    45       R+
   0 1 0 5 4 1      2251.8624176768    1.644e-05    300    53       R+
   0 0 0 10 8 3     2254.2837112217    4.278e-05    384    63       R-
   0 0 0 10 8 2     2254.2844037815    4.503e-05    320    57       R-
   0 1 0 6 3 4      2271.7121423854    1.452e-05    388    60       R+
   0 0 0 12 5 8     2275.3728582043    1.640e-05    430    69       R+
   0 1 0 6 3 3      2282.5895136993    2.058e-05    261    52       R+
   0 0 0 12 5 7     2300.6850361530    1.607e-05    286    60       R+
   0 1 0 7 1 6      2309.7301153384    1.396e-05    345    57       R+
   0 1 0 7 2 6      2318.5398199390    1.980e-05    231    55       R+
   0 0 0 11 7 5     2321.8129769518    5.334e-05    240    50       R+
   0 0 0 11 7 4     2321.9056706038    1.894e-05    418    66       R+
   0 0 0 14 1 13    2327.8837461227    3.148e-05    228    55       R-
   0 0 0 14 2 13    2327.9140057215    3.534e-05    342    68       R-
   0 1 0 8 0 8      2337.4631839633    1.698e-05    200    53       R+
   0 1 0 8 1 8      2337.6666947631    1.629e-05    293    62       R+
   0 0 0 15 1 15    2358.3015940704    5.792e-05    205    58       R-
   0 0 0 15 0 15    2358.3016319833    4.020e-05    252    66       R-
   0 1 0 7 2 5      2392.5924701890    1.363e-05    338    59       R+
   0 1 0 6 4 3      2398.3813913366    1.909e-05    320    58       R+
   0 1 0 6 4 2      2399.1653796973    1.467e-05    214    48       R+
   0 1 0 5 5 1      2406.1408176851    1.517e-05    139    47       R+
   0 1 0 5 5 0      2406.1429839783    1.640e-05    217    54       R+
   0 0 0 13 3 10    2414.7234155499    3.316e-05    392    67       R-
   0 0 0 13 4 10    2426.1964511338    6.967e-05    264    57       R+
   0 0 0 12 6 7     2433.8003998415    3.396e-05    371    66       R-
   0 0 0 12 6 6     2437.5018847938    1.946e-05    249    53       R+
   0 1 0 7 3 5      2439.9543929323    1.434e-05    261    47       R+
   0 1 0 7 3 4      2462.8751854942    1.914e-05    338    59       R+
   0 0 0 10 9 2     2471.2549862057    3.068e-05    261    54       R-
   0 0 0 10 9 1     2471.2549870687    3.556e-05    238    42       R+
   0 1 0 8 1 7      2490.3540197961    1.460e-05    206    46       R+
   0 1 0 8 2 7      2495.1657573003    2.005e-05    323    56       R+
   0 1 0 9 0 9      2512.2828528895    1.059e-05    239    55       R+
   0 1 0 9 1 9      2512.3757029880    1.273e-05    165    47       R+
   0 0 0 11 8 4     2522.2613026278    3.550e-05    227    51       R+
   0 0 0 11 8 3     2522.2651375518    3.039e-05    296    59       R-
   0 0 0 13 4 9     2533.7931522876    3.324e-05    314    64       R-
   0 0 0 14 2 12    2550.8824876611    2.542e-05    219    52       R-
   0 0 0 14 3 12    2551.4834861051    3.314e-05    310    63       R-
   0 1 0 6 5 2      2552.8571704512    1.904e-05    243    54       R+
   0 1 0 6 5 1      2552.8796579274    1.288e-05    159    44       R+
   0 1 0 7 4 4      2569.5079130036    1.166e-05    203    45       R+
   0 1 0 7 4 3      2572.1390746312    1.848e-05    284    55       R+
   0 0 0 13 5 9     2586.5297308283    2.656e-05    238    51       R-
   0 1 0 8 2 6      2595.8128426128    1.372e-05    215    51       R+
   0 0 0 12 7 6     2612.7997815555    2.850e-05    343    58       R-
   0 0 0 12 7 5     2613.1045453554    3.287e-05    202    50       R+
   0 0 0 13 5 8     2629.3344926157    1.631e-05    344    62       R+
   0 1 0 8 3 6      2630.1925060503    2.151e-05    318    53       R+
   0 0 0 15 1 14    2631.2688445684    2.958e-05    252    62       R-
   0 0 0 15 2 14    2631.2834444386    3.080e-05    151    49       R-
   0 0 0 16 1 16    2660.9448218056    7.929e-05    187    54       R-
   0 0 0 16 0 16    2660.9460034057    4.760e-05    147    46       R-
   0 1 0 8 3 5      2670.7895916444    1.329e-05    174    45       R+
   0 1 0 9 1 8      2688.0798202741    1.026e-05    263    57       R+
   0 1 0 9 2 8      2690.5935740735    1.517e-05    179    46       R+
   0 0 0 10 10 1    2701.8885291981    1.898e-05    154    45       R+
   0 0 0 10 10 0    2701.8885291981    1.722e-05    154    33       R+
   0 1 0 10 0 10    2705.0968780206    1.343e-05    125    44       R+
   0 1 0 10 1 10    2705.1396138752    1.798e-05    202    54       R+
   0 1 0 7 5 3      2724.0413632054    1.278e-05    154    44       R+
   0 1 0 7 5 2      2724.1670295201    2.275e-05    222    50       R+
   0 1 0 6 6 1      2733.9626212358    2.358e-05    178    49       R+
   0 1 0 6 6 0      2733.9628649931    1.218e-05    148    40       R+
   0 0 0 14 3 11    2739.4285535662    9.849e-05    185    47       R+
   0 0 0 11 9 3     2740.4209196627    1.799e-05    207    42       R+
   0 0 0 11 9 2     2740.4209196627    1.979e-05    219    51       R+
   0 0 0 14 4 11    2746.0234752852    2.962e-05    311    54       R+
   0 0 0 13 6 8     2748.0996254260    9.894e-05    203    52       R+
   0 0 0 13 6 7     2756.4152870945    1.704e-05    265    48       R-
   0 1 0 8 4 5      2764.6973536459    2.183e-05    258    49       R+
   0 1 0 8 4 4      2771.6900455771    1.324e-05    169    45       R+
   0 0 0 12 8 5     2813.5121162543    6.325e-05    209    46       R+
   0 0 0 12 8 4     2813.5286089518    4.150e-05    120    41       R+
   0 1 0 9 2 7      2818.3979923210    1.003e-05    241    52       R+
   0 1 0 9 3 7      2841.4307209413    1.851e-05    175    42       R+
   0 0 0 15 2 13    2872.2743439646    8.332e-05    207    51       R-
   0 0 0 15 3 13    2872.5804893374    3.967e-05    135    39       R+
   0 0 0 14 4 10    2880.8342040809    3.903e-05    149    40       R+
   0 1 0 10 1 9     2903.1460622512    1.235e-05    130    43       R+
   0 1 0 10 2 9     2904.4283326114    1.434e-05    236    48       R-
   0 1 0 9 3 6      2904.6703499467    1.844e-05    248    48       R+
   0 1 0 7 6 2      2905.4305722860    1.275e-05    134    38       R+
   0 1 0 7 6 1      2905.4334363594    1.904e-05    212    45       R+
   0 1 0 11 0 11    2915.8743426855    1.658e-05    192    48       R+
   0 1 0 11 1 11    2915.8942768216    4.875e-05    111    39       R-
   0 0 0 14 5 10    2918.2449462771    8.336e-05    257    51       R-
   0 1 0 8 5 4      2919.6328998179    1.840e-05    246    48       R+
   0 1 0 8 5 3      2920.1319731465    1.262e-05    150    41       R+
   0 0 0 13 7 7     2927.0751667938    3.703e-05    138    40       R+
   0 0 0 13 7 6     2927.9412132377    2.698e-05    255    50       R-
   0 0 0 16 1 15    2952.3865299952    1.071e-04     87    39       R-
   0 0 0 16 2 15    2952.3937128513    2.270e-05    176    48       R-
   0 0 0 11 10 2    2972.8273465589    6.512e-05    163    36       R+
   0 0 0 11 10 1    2972.8273485589    9.304e-05    169    47       R-
   0 0 0 17 0 17    2981.3583688056    8.860e-05    158    44       R-
   0 0 0 17 1 17    2981.3584438056    1.382e-04    126    31       R-
   0 1 0 9 4 6      2983.3230014336    1.270e-05    158    42       R+
   0 0 0 14 5 9     2983.3963041338    8.067e-05    127    35       R-
   0 1 0 9 4 5      2998.7662610655    1.820e-05    217    48       R+
   0 0 0 12 9 4     3032.6897649177    9.291e-05    199    49       R-
   0 0 0 12 9 3     3032.6903770225    6.627e-05    169    36       R+
   0 1 0 10 2 8     3058.3984446510    1.106e-05    139    40       R+
   0 1 0 10 3 8     3072.7263179560    1.723e-05    228    48       R+
   0 0 0 15 3 12    3080.1786635105    3.697e-05    210    41       R+
   0 0 0 15 4 12    3083.8652918713    1.295e-04    115    35       R+
   0 0 0 14 6 9     3084.8356950427    3.723e-05    219    48       R+
   0 1 0 8 6 3      3101.1237118324    1.920e-05    170    42       R+
   0 1 0 8 6 2      3101.1421522409    1.886e-05     93    35       R+
   0 0 0 14 6 8     3101.4430354427    1.318e-04    121    31       R-
   0 1 0 7 7 1      3109.9114771850    1.939e-05    114    29       R+
   0 1 0 7 7 0      3109.9115031850    1.970e-05    126    44       R+
   0 0 0 13 8 6     3127.8053747938    9.356e-05    108    37       R-
   0 0 0 13 8 5     3127.8619320127    4.177e-05    180    42       R-
   0 1 0 11 1 10    3135.7647853529    4.703e-05    186    42       R-
   0 1 0 11 2 10    3136.4124790679    2.311e-05    116    37       R-
   0 1 0 9 5 5      3139.4757399391    1.939e-05    144    39       R+
   0 1 0 9 5 4      3141.0459353261    1.869e-05    206    48       R+
   0 1 0 12 0 12    3144.5692063460    4.849e-05     90    40       R-
   0 1 0 12 1 12    3144.5787306573    1.366e-05    167    49       R-
   0 2 0 0 0 0      3151.6299374187    1.820e-05     14    12       R+
   0 1 0 10 3 7     3162.2588846959    1.407e-05    125    34       R+
   0 2 0 1 0 1      3175.4412072319    1.451e-05     60    22       R+
   0 2 0 1 1 1      3196.0933510780    1.806e-05     43    18       R+
   0 2 0 1 1 0      3201.9133981420    1.423e-05     65    23       R+
   0 0 0 16 2 14    3211.0547976611    7.960e-05    110    35       R-
   0 0 0 16 3 14    3211.2126635023    7.004e-05    178    41       R-
   0 0 0 11 11 0    3216.1931164431    1.339e-04     98    35       R-
