v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   0 0 1 16 11 6    8536.2872197268    1.692e-03     25     5       R-
   0 0 1 16 11 5    8536.2880226542    1.395e-03     28    12       R-
   0 0 1 18 7 11    8537.6587053202    2.274e-03     34     9       R-
   0 4 0 11 5 7     8539.0545727304    5.032e-04     16    12       R+
   0 0 1 14 14 0    8544.9460167381    5.928e-04     26    14       R-
   0 0 1 14 14 1    8544.9460167381    5.929e-04     26     6       R-
   1 2 0 12 2 11    8546.4685686074    1.225e-04     27    11       R+
   0 2 1 10 4 6     8549.2424272219    1.816e-04     97    31       R+
   0 3 1 2 2 1      8549.9648889823    1.892e-04     32    14       R-
   0 3 1 2 2 0      8551.0229846414    1.869e-04     44    16       R-
   2 0 0 8 6 3      8552.7088269486    5.528e-07     74    26       R+
   2 0 0 8 6 2      8552.9925756811    1.131e-04     47    18       R+
   0 4 0 10 6 5     8553.5953549786    4.239e-04     25    14       R+
   0 4 0 10 6 4     8553.7368489626    3.551e-04     12     9       R-
   0 0 0 25 8 18    8554.6436710702    5.031e-03     18     6       R-
   1 2 0 12 1 11    8555.3667107964    1.915e-04      9     7       R+
   0 1 0 24 3 21    8557.8545669558    3.337e-03     16     7       R-
   0 1 0 24 4 21    8557.9417626921    3.119e-03     30     8       R-
   1 0 1 9 4 5      8558.2338619705    1.132e-04     65    25       R+
   1 0 1 7 7 0      8559.7146152715    4.292e-07     55    19       R+
   1 0 1 7 7 1      8559.7155139003    6.516e-07     59    22       R+
   0 3 1 3 1 2      8560.1431491676    1.846e-04     48    17       R+
   1 1 0 14 7 8     8561.4999630357    1.050e-03     23    11       R-
   1 1 0 14 7 7     8562.5466924776    2.528e-04     15    10       R+
   1 3 0 4 1 3      8563.8969118030    1.533e-04     25    10       R+
   1 1 0 11 11 0    8567.6559077021    1.485e-04     23    13       R+
   1 1 0 11 11 1    8567.6559077021    1.541e-04     23     7       R+
   0 4 0 12 4 9     8570.1323646590    1.803e-04     27    12       R-
   0 4 0 13 2 11    8571.2044927573    2.918e-04     35    14       R-
   0 1 1 18 1 18    8573.5523163645    2.205e-04     35     6       R-
   0 1 1 18 0 18    8573.5530455455    1.614e-04     42    15       R-
   0 2 0 16 11 6    8578.0789087830    2.253e-03     17     7       R-
   0 2 0 16 11 5    8578.0914088367    1.267e-03      6     3       R-
   1 2 0 9 6 4      8578.5047036996    1.375e-04     20    10       R+
   1 2 0 9 6 3      8578.5773492298    4.489e-04     32    17       R+
   0 0 0 26 5 21    8578.7669991060    4.167e-03     15     8       R-
   0 0 0 26 6 21    8579.5014050798    3.289e-03     27    10       R-
   0 1 1 17 2 16    8582.9344657236    1.529e-04     46    12       R-
   0 1 1 17 1 16    8582.9565915807    8.835e-04     16    10       R-
   0 3 0 16 5 12    8583.0933688329    4.160e-04     32     7       R-
   0 0 2 7 6 2      8584.0051427226    1.128e-04     27    15       R+
   0 0 2 7 6 1      8584.0132381398    1.823e-04     46    17       R+
   0 1 1 15 4 11    8584.5840774337    1.497e-04     30    16       R+
   1 1 0 12 10 3    8584.7349999764    1.377e-04     14    11       R+
   1 1 0 12 10 2    8584.7350451721    2.330e-04     13     8       R-
   1 0 1 8 6 2      8585.3925740243    1.979e-04     70    24       R+
   1 0 1 8 6 3      8585.4154494735    1.445e-04     42    20       R+
   2 0 0 10 2 8     8588.5046868675    1.423e-04     37    18       R+
   0 4 0 12 4 8     8589.0177011836    1.198e-03     12     6       R-
   1 2 0 8 7 2      8591.3586016858    2.196e-04     30    19       R+
   1 2 0 8 7 1      8591.3589751048    1.002e-04     26    13       R+
   2 0 0 10 3 8     8593.1784465622    1.891e-04     63    24       R+
   0 0 0 28 3 26    8594.5584838246    2.125e-03     38    14       R-
   0 0 0 28 2 26    8594.5585238564    2.095e-03     26     5       R-
   1 0 0 20 3 17    8594.6122903274    8.003e-03      5     3       R-
   1 0 0 20 4 17    8594.8124104212    1.225e-03     35     9       R-
   0 3 1 4 0 4      8595.5860557039    1.768e-04     65    18       R+
   1 3 0 5 0 5      8596.8949980316    1.427e-04     35    15       R+
   0 2 1 11 2 9     8597.0542189979    1.433e-04     54    20       R+
   0 5 0 8 2 7      8597.2140309326    3.390e-04     29    12       R+
   1 1 0 15 5 10    8597.9341486583    1.982e-03     11     7       R-
   0 0 0 21 16 6    8599.2742042567    2.658e-03     27     8       R-
   0 0 0 21 16 5    8599.2742052567    2.658e-03     27    12       R-
   1 3 0 5 1 5      8602.7908985886    2.877e-04     36    14       R-
   0 3 1 4 1 4      8603.4903687689    5.069e-04     54    19       R+
   0 4 0 14 1 13    8603.6232658501    1.411e-03     10     7       R-
   1 0 0 15 13 3    8604.6041957645    1.709e-03     25     4       R-
   1 0 0 15 13 2    8604.6041967645    1.708e-03     25     9       R-
   0 4 0 13 3 11    8605.5433033225    9.398e-04     10     6       R-
   0 4 0 14 2 13    8606.8491707347    4.432e-04     38    12       R-
   0 2 1 11 3 9     8607.3202078540    1.375e-04     90    26       R+
   0 5 0 5 4 2      8608.1488003633    7.151e-04     13     7       R-
   1 0 0 17 10 8    8608.2025808932    3.375e-03     17     9       R-
   1 0 0 17 10 7    8608.2246568300    1.304e-03     35     9       R-
   0 5 0 5 4 1      8608.2487752534    8.657e-04     33    12       R+
   1 0 0 18 8 11    8609.3635203978    2.545e-03     33    12       R-
   0 0 2 9 2 7      8610.0106627385    2.248e-04     49    17       R+
   0 4 0 9 7 2      8611.4944839746    2.375e-04     33    18       R-
   0 4 0 9 7 3      8611.4948537815    8.815e-04     16     6       R-
   0 1 1 15 5 11    8612.4480501415    2.623e-04     61    20       R-
   1 0 0 18 8 10    8613.0611680802    3.437e-03      8     3       R-
   1 2 0 10 5 6     8613.8780015724    1.114e-04     47    22       R+
   0 0 2 9 3 7      8614.3412821234    1.976e-04     47    20       R+
   0 3 0 13 9 4     8614.8924701674    2.551e-04     26    15       R+
   0 3 0 13 9 5     8614.8966105138    2.492e-04     20     5       R+
   1 2 0 10 5 5     8615.5104979517    1.977e-04     16    12       R+
   0 2 0 20 4 16    8616.1083134140    1.605e-03     12     5       R-
   1 0 0 19 5 14    8618.8859972909    1.443e-03     27     7       R-
   1 3 0 4 2 3      8620.2644443477    4.820e-04     47    16       R+
   0 3 1 3 2 2      8620.9515825250    4.284e-04     62    21       R+
   2 0 0 9 5 4      8621.7840751222    1.988e-04     65    19       R+
   0 1 0 19 13 7    8623.2203451763    5.468e-03     21     8       R-
   0 1 0 19 13 6    8623.2211608790    1.873e-03     25     9       R-
   2 0 0 9 5 5      8624.8496583428    1.995e-04     56    20       R+
   0 3 1 3 2 1      8625.9970696382    3.238e-04     53    19       R+
   1 2 0 11 3 8     8627.2228589825    1.606e-04     36    12       R+
   0 2 0 20 5 16    8628.5952804625    1.465e-03     26    10       R-
   0 2 1 13 1 13    8632.0982620280    1.723e-04     64    22       R+
   0 2 1 13 0 13    8632.4961870567    2.094e-04     40    16       R-
   1 3 0 4 2 2      8633.0944347070    3.797e-04     35    16       R+
   0 1 1 14 7 8     8634.0929387859    4.105e-04     35    18       R-
   0 1 1 11 11 0    8634.5189982395    3.883e-04     27     8       R-
   0 1 1 11 11 1    8634.5189982395    3.880e-04     27    17       R-
   0 3 0 16 5 11    8634.8550082937    2.907e-04      8     4       R-
   0 1 1 14 7 7     8636.0509868548    1.114e-04     64    19       R-
   1 0 0 19 6 14    8638.3194229128    2.346e-03     10     5       R-
   0 0 2 8 5 4      8638.7029098522    1.642e-04     55    20       R+
   1 0 1 10 2 8     8639.1133968577    1.550e-04     76    23       R+
   0 0 2 8 5 3      8639.9292978798    1.129e-04     38    18       R+
   1 0 1 10 3 8     8642.3451489392    1.257e-04     52    22       R+
   0 2 1 8 7 2      8643.7865772070    4.640e-07     62    20       R+
   0 2 1 8 7 1      8643.7869993534    6.519e-07     69    29       R+
   0 2 1 9 6 4      8645.9594581748    1.320e-04     69    24       R+
   0 2 1 9 6 3      8646.0533042082    1.003e-04     42    19       R+
   0 1 0 17 16 2    8651.2749804921    2.138e-03     24     4       R-
   0 1 0 17 16 1    8651.2749804921    2.138e-03     24    12       R-
   0 2 1 12 1 11    8653.8124965429    1.828e-04     77    25       R+
   0 2 1 12 2 11    8654.0967826648    1.733e-04     42    21       R+
   0 5 0 7 3 5      8654.1233109048    2.432e-04     12     7       R-
   0 3 0 20 0 20    8654.9980078687    9.232e-03     11     7       R-
   0 3 0 20 1 20    8655.2078147116    6.700e-04     35    10       R-
   0 0 1 15 13 2    8656.3094760547    1.425e-03     34     5       R-
   0 0 1 15 13 3    8656.3094770547    1.424e-03     35    13       R-
   1 0 1 9 5 5      8657.9102451060    1.086e-04     86    29       R+
   0 3 0 14 8 7     8658.8067845778    6.022e-04     31    13       R-
   0 3 0 14 8 6     8658.8395455452    3.921e-04      7     6       R-
   0 5 0 7 3 4      8660.1246960249    3.544e-04     28    11       R+
   1 0 1 9 5 4      8660.3813388632    1.154e-04     57    23       R+
   1 3 0 3 3 1      8660.6455727124    1.148e-03     26    11       R+
   1 3 0 3 3 0      8660.7341612560    5.057e-04     30    13       R-
   0 3 1 4 1 3      8664.1040476494    1.449e-04     65    22       R+
   0 1 0 25 2 23    8668.3575367234    1.886e-03     35     9       R-
   0 1 0 25 3 23    8668.5192542057    3.012e-03     16     7       R-
   1 1 0 16 4 13    8668.5289472002    4.057e-04     24    12       R-
   2 0 0 11 2 10    8669.1213406298    1.960e-04     43    17       R+
   0 5 0 8 2 6      8669.9391564204    9.043e-04     11     6       R+
   2 0 0 11 1 10    8669.9638289909    1.566e-04     49    21       R+
   0 1 0 22 8 15    8672.4582890418    2.422e-03     33    11       R-
   1 1 0 16 3 13    8672.9135944386    4.903e-04      3     3       R-
   0 1 1 12 10 3    8675.8039076705    1.175e-04     43    13       R+
   0 1 1 12 10 2    8675.8039216705    1.156e-04     45    21       R-
   0 1 0 27 0 27    8676.1111631493    1.892e-03     41    14       R-
   0 1 0 27 1 27    8676.1111891493    1.896e-03     32     5       R-
   0 1 0 23 5 18    8676.2606488021    1.559e-03     30     9       R-
   0 0 0 25 8 17    8678.9010089644    2.438e-03     25    10       R-
   0 5 0 10 0 10    8679.0485532032    1.448e-03      9     6       R+
   0 2 0 17 10 8    8681.2966578045    1.658e-03     13     5       R-
   0 2 0 17 10 7    8681.3225399166    2.441e-03     32     9       R-
   0 2 0 19 7 13    8684.0825368637    2.802e-03     16     7       R-
   0 1 0 23 6 18    8684.6580833153    2.380e-03     16     8       R-
   0 5 0 10 1 10    8685.0475627690    1.098e-04     22    12       R+
   0 0 1 18 8 11    8686.8513894097    1.766e-03     18     8       R-
   2 0 0 10 3 7     8686.9805670657    1.252e-04     21    11       R+
   0 1 0 21 10 12   8687.0401778590    2.669e-03      9     4       R-
   0 1 0 21 10 11   8687.4287710998    2.799e-03     27    11       R-
   0 3 0 12 10 3    8687.6814583195    2.225e-04     22    12       R+
   0 3 0 12 10 2    8687.6814653195    2.230e-04     19     6       R+
   0 3 0 17 3 14    8688.6835902521    2.589e-04     35     9       R-
   1 3 0 5 1 4      8690.1057924214    3.170e-04     43    14       R+
   1 2 0 11 4 8     8690.2573396115    1.020e-04     20    12       R+
   0 0 0 20 18 3    8691.9234730820    3.165e-03     19     9       R-
   0 0 0 20 18 2    8691.9234730820    3.165e-03     19     4       R-
   0 0 0 29 1 28    8692.2758491539    2.250e-03     35    13       R-
   0 0 0 29 2 28    8692.2758531539    2.256e-03     33     6       R-
   0 0 2 9 3 6      8692.9693805118    1.517e-04     43    16       R+
   0 1 1 15 5 10    8693.1038920976    1.694e-04     34    14       R-
   0 2 1 10 5 6     8693.5222790620    1.075e-04     57    23       R+
   0 0 2 10 2 9     8694.3329461066    1.057e-04     42    19       R+
   0 0 1 18 8 10    8695.4091536238    1.236e-03     29     7       R-
   0 0 2 10 1 9     8696.0442598525    1.628e-04     44    17       R+
   0 2 1 10 5 5     8696.6126938939    1.857e-04     91    32       R+
   0 0 1 17 10 8    8697.6302725406    1.233e-03     32    12       R-
   0 0 1 17 10 7    8697.6667659236    2.474e-03     15     8       R-
   0 3 1 5 0 5      8697.9944059323    3.245e-04     49    18       R+
   0 3 0 11 11 1    8698.8724175670    1.142e-04     11     6       R+
   0 3 0 11 11 0    8698.8724175670    1.087e-04     11     8       R+
   0 4 0 8 8 1      8700.2191798070    6.541e-07     19    13       R+
   0 4 0 8 8 0      8700.2191833017    4.645e-07     19     8       R+
   2 0 0 12 0 12    8701.0412987871    9.961e-04     25    17       R+
   2 0 0 12 1 12    8701.0464573769    1.511e-04     52    20       R+
   0 0 1 20 3 17    8702.3788905706    1.047e-03     49    11       R-
   0 0 1 20 4 17    8702.4123525812    2.341e-03     18     8       R-
   0 3 1 5 1 5      8702.4822024399    1.383e-04     78    20       R+
   0 1 0 22 8 14    8703.7367301468    1.965e-03     13     5       R-
   0 2 0 19 7 12    8706.3202237752    2.243e-03     31     7       R-
   0 3 0 17 4 14    8707.2038423195    2.958e-04     16     5       R-
   0 0 0 30 0 30    8714.0688590618    2.257e-03     25     5       R-
   0 0 0 30 1 30    8714.0688590618    2.247e-03     33     9       R-
   1 1 0 13 9 5     8714.5263213057    2.708e-04     18     5       R+
   1 1 0 13 9 4     8714.5277709518    5.966e-04     28    13       R+
   0 3 1 4 2 3      8714.6090272411    1.268e-04     55    18       R+
   1 3 0 6 0 6      8715.9793552325    8.610e-04     28    13       R+
   1 3 0 6 1 6      8719.4038572887    1.684e-03     43    15       R+
   1 0 1 11 1 10    8719.4676426381    1.480e-04     50    22       R+
   2 0 0 10 4 7     8719.8437272318    1.231e-04     66    23       R+
   1 1 0 15 6 10    8719.9313815752    1.569e-04     13     8       R+
   1 0 1 11 2 10    8720.2360059467    1.003e-04     65    26       R+
   2 0 0 8 7 2      8721.1370334327    1.085e-04     50    22       R+
   2 0 0 8 7 1      8721.1379030626    5.129e-04     37    18       R+
   1 0 0 16 12 5    8722.2152006212    2.449e-03     31    11       R-
   1 0 0 16 12 4    8722.2152056212    2.449e-03     31     4       R-
   1 0 0 21 2 19    8722.2530675016    2.077e-03     26    11       R-
   1 0 0 21 3 19    8722.2722176353    5.013e-03      8     6       R-
   0 0 0 24 11 14   8724.8463514177    3.406e-03     33     8       R-
   0 0 0 24 11 13   8725.6983530401    2.419e-03     15     6       R-
   0 1 0 26 2 25    8726.6588393014    1.962e-03     41    12       R-
   0 1 0 26 1 25    8726.6607056501    1.712e-03     33     8       R-
   0 3 1 4 2 2      8728.4725784818    1.200e-04     69    19       R+
   0 3 0 15 7 9     8729.1959583273    5.538e-04     15     6       R-
   0 0 2 11 0 11    8729.6720442283    1.039e-04     37    20       R+
   0 0 2 11 1 11    8729.6822413240    1.148e-04     21    16       R+
   0 2 1 11 3 8     8730.1598785891    1.360e-04     40    19       R+
   0 3 0 15 7 8     8730.5726747464    1.697e-04     29    12       R+
   0 0 1 19 5 14    8730.6240635525    1.719e-03     20     9       R-
   1 2 0 11 4 7     8731.4176799618    1.311e-04     37    14       R+
   1 1 0 15 6 9     8732.1874731754    1.816e-04     26    11       R-
   0 0 2 9 4 6      8734.2127010661    1.951e-04     41    16       R+
   1 3 0 5 2 4      8735.0798209140    1.481e-04     33    11       R-
   0 0 2 7 7 0      8738.8259729860    1.648e-04     30    16       R+
   0 0 2 7 7 1      8738.8260762042    1.313e-04     29    13       R+
   0 0 0 23 13 11   8741.3833535847    3.063e-03     13     7       R-
   0 0 0 23 13 10   8741.3887357355    3.295e-03     23     8       R-
   0 0 1 19 6 14    8741.6078224292    9.451e-04     38     9       R-
   0 1 1 13 9 5     8744.6996075356    2.120e-04     49    18       R-
   0 1 1 13 9 4     8744.7013986682    8.786e-04     40    14       R+
   1 0 1 10 3 7     8744.8155038267    5.682e-07     74    29       R+
   0 4 0 13 3 10    8745.8576905033    4.128e-04     25     8       R-
   0 3 1 3 3 1      8746.5273770755    1.186e-04     45    17       R+
   0 3 1 3 3 0      8746.6471800881    1.433e-04     29    13       R-
   0 5 0 9 1 8      8747.2629938531    1.409e-04     12     8       R+
   1 0 1 8 7 1      8748.4270865986    3.217e-04     74    27       R+
   1 0 1 8 7 2      8748.4292048817    1.164e-04     37    21       R-
   1 0 1 12 1 12    8753.2346476172    5.022e-04     34    19       R+
   1 0 1 12 0 12    8753.2490836788    1.247e-04     63    25       R+
   0 5 0 6 4 3      8754.1777786041    1.323e-03     35    12       R-
   0 5 0 6 4 2      8754.3841121027    5.616e-04     20    11       R-
   1 3 0 4 3 2      8756.5304082991    1.160e-04     50    15       R+
   0 2 0 14 14 0    8756.9754832442    2.074e-03     18     3       R-
   0 2 0 14 14 1    8756.9754832442    2.074e-03     18    11       R-
   1 3 0 4 3 1      8757.1385434983    9.486e-04     29    10       R-
   0 0 2 9 4 5      8757.7826997490    1.684e-04     50    18       R+
   2 1 0 0 0 0      8761.5823939646    1.668e-03      6     6       R+
   1 3 0 5 2 3      8761.6591140817    7.477e-04     46    15       R+
   2 0 0 10 4 6     8762.2227054586    1.709e-04     45    19       R+
   0 1 1 16 3 13    8766.5398366784    1.452e-04     62    17       R+
   2 0 0 9 6 4      8766.6268334010    1.728e-04     44    19       R+
   1 0 0 19 6 13    8768.1223158321    1.468e-03     19     9       R-
   2 0 0 9 6 3      8768.7291768736    1.496e-04     61    20       R+
   0 2 0 18 9 10    8768.7482167423    1.553e-03     24     7       R-
   1 0 1 10 4 7     8768.8386447392    1.363e-04     56    21       R+
   0 2 0 18 9 9     8769.0560294998    1.801e-03     12     5       R-
   0 1 1 16 4 13    8769.4263435457    1.660e-04     32    14       R+
   1 2 0 12 2 10    8770.1069417346    1.499e-04     21    13       R+
   0 4 0 16 0 16    8771.4566739380    1.471e-03     12     6       R-
   0 4 0 16 1 16    8771.6687303944    2.193e-04     27    11       R-
   1 2 0 12 3 10    8774.1586785146    1.502e-04     31    15       R+
   1 1 0 17 2 15    8775.4051604761    1.802e-04     28    10       R-
   1 1 0 17 3 15    8776.0660334057    1.587e-03      4     4       R-
   0 2 0 21 3 18    8776.7386372411    1.527e-03     35     9       R-
   0 0 2 8 6 3      8777.5473599304    1.319e-04     45    21       R+
   0 0 2 8 6 2      8777.5996735249    1.060e-04     33    17       R+
   0 2 0 21 4 18    8777.8525766201    3.863e-03     13     4       R-
   0 3 0 18 2 16    8781.2279341616    1.583e-02      7     4       R-
   0 2 1 11 4 8     8782.7219159257    1.126e-04     81    27       R+
   0 3 0 18 3 16    8782.8845056894    4.464e-04     32     6       R-
   2 1 0 1 0 1      8784.6586057058    1.688e-04     20     8       R-
   1 2 0 14 0 14    8784.9816954386    4.854e-04      6     4       R-
   1 2 0 14 1 14    8785.1571898960    1.040e-04     22    11       R-
   0 0 1 16 12 5    8785.1595073350    1.192e-03     35     5       R-
   0 0 1 16 12 4    8785.1595283350    1.187e-03     36    12       R-
   0 1 0 20 12 9    8785.7882990878    1.924e-03     17     8       R-
   0 1 0 20 12 8    8785.7934629362    3.236e-03     13     5       R-
   0 2 0 24 1 24    8787.4687543113    1.659e-03     37    11       R-
   0 2 0 24 0 24    8787.4868993142    3.928e-03     14     5       R-
   0 1 0 18 15 3    8788.3744536956    4.274e-03     19     4       R+
   0 1 0 18 15 4    8788.3744536956    4.274e-03     19     9       R+
   1 1 0 14 8 7     8790.2095066141    1.099e-04     25    11       R+
   1 1 0 14 8 6     8790.2818819700    4.448e-04     13     8       R+
   0 0 0 25 9 17    8790.6163133476    5.405e-03     12     5       R-
   0 3 1 5 1 4      8791.0079847911    1.397e-04     48    20       R+
   0 3 0 19 1 18    8791.8747470142    4.723e-04     33     9       R-
   0 3 0 19 2 18    8791.9172583452    7.659e-04     12     4       R-
   0 1 1 15 6 10    8796.5879128895    1.755e-04     51    21       R+
   1 0 1 9 6 3      8798.6035800152    1.812e-04     50    26       R+
   1 0 1 9 6 4      8798.6414999815    1.436e-04     73    29       R+
   2 1 0 1 1 1      8799.6403855019    1.353e-04     16     6       R-
   0 5 0 9 2 8      8800.5432806609    1.356e-03      8     5       R+
   1 0 0 22 2 21    8802.8473541864    2.334e-03     28    13       R-
   1 0 0 22 1 21    8802.8477021746    2.609e-03     17     8       R-
   2 1 0 1 1 0      8805.1566509424    1.029e-04     15     8       R-
   1 1 1 0 0 0      8806.9986374402    1.762e-04     16    12       R+
   1 0 1 10 4 6     8807.7180225295    1.331e-04     86    23       R+
   1 2 0 9 7 3      8809.0384368082    4.752e-04     31    14       R+
   1 2 0 9 7 2      8809.0397584564    1.300e-04     43    24       R+
   1 1 0 19 0 19    8810.4051018984    4.265e-04     20     9       R-
   1 1 0 19 1 19    8810.4094371699    8.113e-03     13     3       R-
   0 0 0 22 15 8    8810.9220206838    2.234e-03     24     9       R-
   0 0 0 22 15 7    8810.9220476838    2.236e-03     23    10       R-
   0 0 0 27 4 23    8811.5841341252    1.844e-03     31    11       R-
   0 0 0 27 5 23    8811.6330595028    2.852e-03     10     5       R-
   1 2 0 13 2 12    8815.6937158218    2.756e-04     11     6       R-
   0 3 1 6 0 6      8817.2432182218    1.999e-04     78    25       R+
   0 2 0 15 13 3    8817.4350445422    2.264e-03     16     4       R-
   0 2 0 15 13 2    8817.4350615422    2.260e-03     17     7       R-
   1 2 0 10 6 5     8818.7417877351    2.343e-04     36    21       R+
   1 2 0 10 6 4     8818.9974162128    1.139e-04     12    10       R+
   0 3 1 6 1 6      8819.6627493196    1.773e-04     50    21       R+
   0 4 0 11 6 6     8819.7334453554    9.852e-04      3     3       R-
   0 4 0 11 6 5     8820.1425159325    1.131e-03     25    11       R-
   1 2 0 13 1 12    8820.4128170610    1.614e-04     22    11       R+
   0 1 1 15 6 9     8823.8993773364    1.566e-04     35    16       R-
   0 4 0 12 5 7     8824.5359882799    2.445e-04      8     6       R-
   0 4 0 12 5 8     8825.7678576654    1.314e-04     23    12       R+
   1 0 0 23 1 23    8827.0224017494    2.121e-03     28     5       R-
   1 0 0 23 0 23    8827.0224801328    2.281e-03     33    11       R-
   0 2 1 11 4 7     8827.4900579762    1.609e-04     43    22       R+
   1 1 0 18 1 17    8827.9025838056    6.651e-04      7     3       R-
   1 1 0 18 2 17    8827.9217245405    4.736e-04     25     9       R-
   2 1 0 2 0 2      8829.5283906982    2.564e-04     21     8       R-
   0 3 1 5 2 4      8830.1726057428    1.660e-04     79    22       R+
   1 1 1 1 0 1      8830.2306013949    3.119e-04     25     9       R-
   2 0 0 11 2 9     8831.3506856481    1.848e-04     53    20       R+
   0 0 1 21 2 19    8832.4745732341    2.602e-03     18     6       R-
   0 0 1 21 3 19    8832.4764719046    2.036e-03     43    11       R-
   1 0 0 18 9 10    8832.8448618314    1.780e-03     31    10       R-
   1 0 0 18 9 9     8833.2114574385    3.726e-03     17     7       R-
   2 0 0 11 3 9     8834.4082744764    1.536e-04     35    14       R+
   1 0 0 19 7 13    8834.4821543639    1.515e-03     15     6       R-
   0 3 0 16 6 10    8835.0808759574    2.629e-03     11     6       R-
   0 2 0 20 5 15    8835.5668768637    2.695e-03     14     6       R-
   0 0 2 10 2 8     8836.8573317715    1.844e-04     33    16       R+
   0 0 0 25 9 16    8837.1027966063    2.516e-03     21     7       R-
   1 3 0 6 1 5      8837.4249480682    1.650e-03     26    10       R-
   0 3 0 16 6 11    8837.4422365151    5.022e-04     25     5       R-
   0 0 2 10 3 8     8840.0451978727    1.878e-04     61    24       R+
   1 2 0 8 8 1      8840.2229946213    1.011e-04     33    20       R+
   1 2 0 8 8 0      8840.2230006213    1.874e-04     34    13       R+
   2 1 0 2 1 2      8840.2747168411    1.940e-04     29     8       R-
   0 3 1 4 3 2      8843.2413581025    1.588e-04     50    18       R+
   0 3 1 4 3 1      8844.0489687402    1.520e-04     69    18       R+
   1 1 1 1 1 1      8844.5357725036    2.888e-04     24    10       R+
   0 5 0 8 3 6      8845.5575668130    1.400e-04     33    14       R+
   0 1 1 14 8 7     8847.2463570752    3.323e-04     34    18       R-
   0 1 1 14 8 6     8847.4126376201    2.120e-04     59    21       R-
   1 1 1 1 1 0      8850.1047090533    2.423e-04     16     8       R+
   1 0 0 20 4 16    8851.2429382839    2.508e-03     16     7       R-
   1 3 0 7 0 7      8851.8527581188    1.471e-04     40    17       R+
   1 0 0 20 5 16    8853.2483712103    3.151e-03     32    10       R-
   1 3 0 7 1 7      8853.8827594102    2.700e-04     30    15       R+
   0 0 2 9 5 5      8854.9217134546    1.609e-04     43    19       R+
   0 4 0 10 7 4     8855.3928392041    4.027e-04     31    17       R-
   0 4 0 10 7 3     8855.3965332331    6.480e-04     16     9       R-
   2 1 0 2 1 1      8856.7768927897    1.441e-04     17     6       R-
   0 5 0 8 3 5      8857.8212417654    4.463e-04     17     7       R-
   0 0 2 9 5 4      8858.5978605184    1.142e-04     54    20       R+
   0 3 1 5 2 3      8858.6003065074    1.432e-04     48    20       R+
   2 0 0 10 5 6     8859.7611287633    1.231e-04     66    18       R+
   1 1 0 12 11 2    8860.4104633971    1.541e-04     24    12       R-
   1 1 0 12 11 1    8860.4104643971    1.842e-04     24     6       R+
   0 0 0 26 6 20    8860.8635507957    3.096e-03     13     8       R-
   2 0 0 10 5 5     8862.2491235559    1.951e-04     36    14       R+
   1 0 0 17 11 6    8862.3556891938    2.897e-03     25    10       R-
   1 0 0 17 11 7    8862.3562579728    2.373e-03     15     4       R-
   0 2 1 9 7 3      8862.4321825565    1.855e-04     63    26       R+
   0 2 1 9 7 2      8862.4350984556    1.077e-04     43    17       R+
   0 2 0 22 3 20    8865.2173931212    1.440e-03     33    10       R-
   0 2 0 22 2 20    8865.2190063726    3.554e-03     16     6       R-
   0 0 0 26 7 20    8866.1818058002    2.585e-03     25     9       R-
   0 2 1 12 2 10    8868.7178740788    1.166e-04     79    25       R+
   0 6 0 0 0 0      8869.9501664378    2.046e-02      1     1       U 
   1 1 0 16 4 12    8870.3836130855    5.363e-03      4     2       R-
   0 4 0 13 4 10    8870.5844461227    5.141e-04      8     6       R-
   1 3 0 6 2 5      8870.9849453034    3.659e-04     51    16       R+
   1 0 0 15 14 1    8871.1265977072    1.907e-03     25    10       R-
   1 0 0 15 14 2    8871.1265977072    1.907e-03     25     4       R-
   0 2 1 8 8 1      8874.2942215358    2.611e-04     46    14       R+
   0 2 1 8 8 0      8874.2942235358    2.607e-04     46    22       R+
   0 2 1 12 3 10    8874.3638356748    1.619e-04     46    23       R+
   1 1 1 2 0 2      8875.3076225697    1.962e-04     45    13       R+
   1 2 0 11 5 7     8876.1985986673    1.947e-04     31    13       R+
   1 3 0 5 3 3      8876.3465567445    8.837e-04     33    13       R+
   0 1 1 17 3 15    8877.6447710093    1.462e-04     57    19       R-
   0 1 1 17 2 15    8878.5513586183    3.094e-04     35    13       R-
   1 3 0 5 3 2      8878.5848011961    3.737e-04     40    12       R-
   1 1 0 16 5 12    8881.6282170507    2.094e-04     27    10       R-
   1 2 0 11 5 6     8881.8960759294    4.313e-04     33    16       R+
   1 0 1 11 2 9     8882.6635974153    1.424e-04     39    18       R+
   1 0 1 11 3 9     8883.0373599028    1.392e-04     85    28       R+
   1 1 1 2 1 2      8885.2068155559    7.714e-04     32     9       R-
   0 2 1 14 1 14    8886.6854940704    4.318e-04     23    13       R-
   0 0 1 19 6 13    8887.1215309160    2.955e-03     16     5       R-
   0 2 1 10 6 5     8887.7912999022    1.047e-04     44    22       R+
   0 2 1 10 6 4     8888.1210673317    1.933e-04     71    24       R+
   0 2 1 14 0 14    8889.1781625599    1.220e-04     53    20       R-
   0 2 0 16 12 5    8890.6693158367    7.825e-04     16     8       R-
   0 2 0 16 12 4    8890.6693188367    7.826e-04     17     5       R-
   0 5 0 11 0 11    8890.7749642198    5.039e-04     25    10       R+
   0 2 0 20 6 15    8893.1023131212    1.636e-03     34    10       R-
   0 0 1 18 9 10    8893.2209299686    3.137e-03     14     6       R-
