v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,14,1,13,1215.637941,107.2
0,0,0,14,2,13,1215.683349,95.3
0,1,0,2,1,2,1221.505043,81.8
0,1,0,2,1,1,1229.133259,19.3
0,0,0,15,0,15,1233.851725,140.9
0,0,0,15,1,15,1233.851739,139.5
0,0,0,10,8,2,1242.005853,13.9
0,0,0,10,8,3,1242.005917,14.0
0,1,0,3,0,3,1248.923194,19.6
0,0,0,11,7,5,1250.847302,14.0
0,0,0,11,7,4,1250.858085,14.0
0,0,0,13,3,10,1251.552830,74.8
0,1,0,3,1,3,1253.798996,82.3
0,1,0,2,2,1,1256.854515,19.6
0,1,0,2,2,0,1257.309282,79.7
0,0,0,9,9,1,1258.869592,12.0
0,0,0,9,9,0,1258.869592,12.0
0,0,0,13,4,10,1264.898625,78.2
0,1,0,3,1,2,1268.983896,14.0
0,0,0,12,6,7,1287.773404,86.7
0,0,0,12,6,6,1288.411330,92.3
0,1,0,3,2,2,1293.248707,68.1
0,1,0,4,0,4,1293.512433,76.8
0,1,0,3,2,1,1295.426432,19.4
0,1,0,4,1,4,1296.416973,19.5
0,0,0,13,4,9,1307.304478,94.9
0,1,0,4,1,3,1321.413452,65.6
0,0,0,14,2,12,1330.523770,85.2
0,0,0,14,3,12,1331.407103,113.4
0,1,0,4,2,3,1341.382020,50.4
0,1,0,3,3,1,1345.584759,19.6
0,1,0,3,3,0,1345.636885,96.0
0,1,0,4,2,2,1347.393228,13.9
0,1,0,5,0,5,1347.540701,79.6
0,1,0,5,1,5,1349.108967,19.3
0,0,0,13,5,9,1353.044590,86.2
0,0,0,13,5,8,1365.039366,121.4
0,0,0,15,1,14,1374.975814,109.4
0,0,0,15,2,14,1374.997688,108.0
0,0,0,11,8,4,1377.945750,19.6
0,0,0,11,8,3,1377.946040,19.6
0,0,0,10,9,2,1382.787226,12.0
0,0,0,10,9,1,1382.787226,12.0
0,1,0,5,1,4,1385.700764,91.0
0,0,0,16,0,16,1392.837384,137.7
0,0,0,16,1,16,1392.837692,155.2
0,1,0,4,3,2,1394.914398,83.9
0,1,0,4,3,1,1395.269702,19.5
0,0,0,12,7,6,1399.146712,89.1
0,0,0,12,7,5,1399.184125,94.7
0,1,0,5,2,4,1400.936750,19.3
0,1,0,6,0,6,1410.877671,89.8
0,1,0,6,1,6,1411.670665,19.5
0,1,0,5,2,3,1413.356455,19.5
0,0,0,14,3,11,1424.002966,86.1
0,0,0,14,4,11,1432.490356,130.0
0,0,0,13,6,8,1448.886719,91.9
0,0,0,13,6,7,1450.437413,99.4
0,1,0,5,3,3,1456.631081,19.4
0,1,0,5,3,2,1457.985750,13.9
0,1,0,6,1,5,1460.902994,81.0
0,1,0,4,4,1,1466.154031,19.7
0,1,0,4,4,0,1466.159020,19.7
0,1,0,6,2,5,1471.551900,19.4
0,1,0,7,0,7,1483.571251,99.0
0,1,0,7,1,7,1483.956065,19.7
0,0,0,14,4,10,1489.187440,130.9
0,1,0,6,2,4,1492.950824,19.6
0,0,0,15,2,13,1499.864483,115.1
0,0,0,15,3,13,1500.329164,107.3
0,0,0,11,9,2,1518.933374,221.9
0,0,0,11,9,3,1518.933782,19.5
0,0,0,14,5,10,1525.384481,128.6
0,0,0,12,8,5,1526.128376,186.8
0,0,0,12,8,4,1526.129824,19.6
0,1,0,5,4,2,1527.916754,19.6
0,1,0,5,4,1,1527.960639,19.6
0,1,0,6,3,4,1530.601469,19.3
0,1,0,6,3,3,1534.355313,19.3
0,0,0,10,10,1,1535.967504,12.0
0,0,0,10,10,0,1535.967505,12.0
0,0,0,16,1,15,1543.766022,115.1
0,0,0,16,2,15,1543.776593,122.6
0,0,0,14,5,9,1545.672334,130.2
0,1,0,7,1,6,1546.054631,96.7
0,1,0,7,2,6,1552.853906,93.7
0,0,0,13,7,7,1559.781186,97.9
0,0,0,13,7,6,1559.894843,99.4
0,0,0,17,1,17,1561.297593,150.8
0,0,0,17,0,17,1561.298081,154.8
0,1,0,8,0,8,1565.688484,110.1
0,1,0,8,1,8,1565.870725,108.5
0,1,0,7,2,5,1585.481941,89.2
0,1,0,6,4,3,1602.202355,86.8
0,1,0,6,4,2,1602.413463,19.6
0,0,0,15,3,12,1605.007302,99.5
0,0,0,15,4,12,1610.141587,182.7
0,1,0,7,3,5,1616.581171,19.4
0,1,0,5,5,1,1617.843091,101.7
0,1,0,5,5,0,1617.843353,110.1
0,0,0,14,6,9,1622.279154,96.4
0,1,0,7,3,4,1624.901938,83.4
0,0,0,14,6,8,1625.676188,95.0
0,1,0,8,1,7,1640.485084,91.9
0,1,0,8,2,7,1644.494238,99.5
0,1,0,9,0,9,1657.270593,114.1
0,1,0,9,1,9,1657.355799,101.6
0,0,0,12,9,4,1667.263460,1091.8
0,0,0,12,9,3,1667.264130,120.7
0,0,0,11,10,1,1672.480260,1052.8
0,0,0,11,10,2,1672.480260,60.4
0,0,0,16,2,14,1678.464200,99.5
0,0,0,16,3,14,1678.706070,138.9
