v1  v2  v3  v4  l4  v5  l5  k  J   ef  op     Energy        Unc       NumTrans  u/g  Sym
0   0   0   2   2   0   0   2  8   f   ortho  1313.687133   0.000431  50        g    delta_g
0   0   0   0   0   0   0   0  33  e   ortho  1318.150982   0.000212  90        g    sigma_g_plus
0   0   0   1   1   0   0   1  24  f   ortho  1319.421852   0.000372  104       g    pi_g
0   0   0   0   0   1   1   1  22  e   ortho  1324.015894   0.000263  120       u    pi_u
0   0   0   1   1   1   -1  0  0   e   ortho  1328.073466   0.000319  19        u    sigma_u_plus
0   0   0   2   2   0   0   2  9   e   ortho  1334.782344   0.000307  54        g    delta_g
0   0   0   1   1   1   -1  0  2   e   ortho  1335.156209   0.000226  42        u    sigma_u_plus
0   0   0   2   0   0   0   0  9   e   ortho  1336.642684   0.000333  48        g    sigma_g_plus
0   0   0   1   1   1   -1  0  1   f   ortho  1342.911183   0.001095  28        u    sigma_u_minus
0   0   0   1   1   1   1   2  2   e   ortho  1349.881320   0.000551  38        u    delta_u
0   0   0   1   1   1   -1  0  4   e   ortho  1351.681630   0.000228  47        u    sigma_u_plus
0   0   0   1   1   1   -1  0  3   f   ortho  1354.711721   0.000995  38        u    sigma_u_minus
0   0   0   1   1   1   1   2  3   f   ortho  1356.960094   0.000399  58        u    delta_u
0   0   0   2   2   0   0   2  10  f   ortho  1358.481481   0.000426  49        g    delta_g
0   0   0   1   1   1   1   2  4   e   ortho  1366.399012   0.000318  64        u    delta_u
0   0   0   1   1   0   0   1  25  e   ortho  1374.961225   0.000353  97        g    pi_g
0   0   0   1   1   1   -1  0  5   f   ortho  1375.951905   0.000892  36        u    sigma_u_minus
0   0   0   1   1   1   -1  0  6   e   ortho  1377.647492   0.000226  49        u    sigma_u_plus
0   0   0   1   1   1   1   2  5   f   ortho  1378.195873   0.000218  60        u    delta_u
0   0   0   0   0   1   1   1  23  f   ortho  1380.634428   0.000354  113       u    pi_u
0   0   0   2   2   0   0   2  11  e   ortho  1384.164257   0.000295  57        g    delta_g
0   0   0   2   0   0   0   0  11  e   ortho  1386.284780   0.000346  39        g    sigma_g_plus
0   0   0   1   1   1   1   2  6   e   ortho  1392.355518   0.000312  64        u    delta_u
0   0   0   1   1   1   -1  0  7   f   ortho  1406.630335   0.000907  40        u    sigma_u_minus
0   0   0   1   1   1   1   2  7   f   ortho  1408.868128   0.000348  68        u    delta_u
0   0   0   2   2   0   0   2  12  f   ortho  1412.699802   0.000423  51        g    delta_g
0   0   0   1   1   1   -1  0  8   e   ortho  1413.050114   0.000214  66        u    sigma_u_plus
0   0   0   1   1   1   1   2  8   e   ortho  1427.750800   0.000309  70        u    delta_u
0   0   0   0   0   1   1   1  24  e   ortho  1434.431822   0.000342  115       u    pi_u
0   0   0   1   1   0   0   1  26  f   ortho  1439.615424   0.000364  96        g    pi_g
0   0   0   2   2   0   0   2  13  e   ortho  1442.911798   0.000298  58        g    delta_g
0   0   0   2   0   0   0   0  13  e   ortho  1445.407278   0.000334  43        g    sigma_g_plus
0   0   0   1   1   1   -1  0  9   f   ortho  1446.744507   0.000894  39        u    sigma_u_minus
0   0   0   1   1   1   1   2  9   f   ortho  1448.974479   0.000331  70        u    delta_u
0   0   0   0   0   2   0   0  1   e   ortho  1451.474822   0.000263  31        g    sigma_g_plus
0   0   0   1   1   1   -1  0  10  e   ortho  1457.884575   0.000209  60        u    sigma_u_plus
0   0   0   0   0   2   0   0  3   e   ortho  1463.286132   0.000266  39        g    sigma_g_plus
0   0   0   0   0   2   2   2  2   f   ortho  1465.378091   0.000820  23        g    delta_g
0   0   0   0   0   2   2   2  3   e   ortho  1472.462847   0.000532  37        g    delta_g
0   0   0   1   1   1   1   2  10  e   ortho  1472.584960   0.000299  78        u    delta_u
0   0   0   2   2   0   0   2  14  f   ortho  1476.338147   0.000437  48        g    delta_g
0   0   0   0   0   0   0   0  35  e   ortho  1479.994339   0.000149  75        g    sigma_g_plus
0   0   0   0   0   2   2   2  4   f   ortho  1481.908242   0.000610  41        g    delta_g
0   0   0   0   0   2   0   0  5   e   ortho  1484.544412   0.000260  43        g    sigma_g_plus
0   0   0   0   0   2   2   2  5   e   ortho  1493.716974   0.000509  43        g    delta_g
0   0   0   0   0   1   1   1  25  f   ortho  1496.189604   0.000364  94        u    pi_u
0   0   0   1   1   1   -1  0  11  f   ortho  1496.292203   0.000870  40        u    sigma_u_minus
0   0   0   1   1   1   1   2  11  f   ortho  1498.512360   0.000328  78        u    delta_u
0   0   0   1   1   0   0   1  27  e   ortho  1499.301291   0.000402  88        g    pi_g
0   0   0   0   0   2   2   2  6   f   ortho  1507.882597   0.000646  41        g    delta_g
0   0   0   2   2   0   0   2  15  e   ortho  1511.021053   0.000300  49        g    delta_g
0   0   0   1   1   1   -1  0  12  e   ortho  1512.144666   0.000207  61        u    sigma_u_plus
0   0   0   2   0   0   0   0  15  e   ortho  1514.006050   0.000395  42        g    sigma_g_plus
0   0   0   0   0   2   0   0  7   e   ortho  1515.246183   0.000265  46        g    sigma_g_plus
0   0   0   0   0   2   2   2  7   e   ortho  1524.418336   0.000529  44        g    delta_g
0   0   0   1   1   1   1   2  12  e   ortho  1526.858056   0.000291  74        u    delta_u
0   0   0   0   0   2   2   2  8   f   ortho  1543.299716   0.000563  54        g    delta_g
0   0   0   2   2   0   0   2  16  f   ortho  1549.392358   0.000460  51        g    delta_g
0   0   0   0   0   1   1   1  26  e   ortho  1554.212165   0.000387  105       u    pi_u
0   0   0   1   1   1   -1  0  13  f   ortho  1555.269348   0.000852  41        u    sigma_u_minus
0   0   0   0   0   2   0   0  9   e   ortho  1555.386184   0.000263  52        g    sigma_g_plus
0   0   0   1   1   1   1   2  13  f   ortho  1557.478416   0.000335  71        u    delta_u
0   0   0   0   0   2   2   2  9   e   ortho  1564.567712   0.000531  55        g    delta_g
0   0   0   1   1   0   0   1  28  f   ortho  1569.196915   0.000418  69        g    pi_g
0   0   0   1   1   1   -1  0  14  e   ortho  1575.822769   0.000263  64        u    sigma_u_plus
0   0   0   0   0   2   2   2  10  f   ortho  1588.156869   0.000587  54        g    delta_g
0   0   0   2   2   0   0   2  17  e   ortho  1588.489963   0.000368  46        g    delta_g
0   0   0   1   1   1   1   2  14  e   ortho  1590.570162   0.000294  71        u    delta_u
0   0   0   2   0   0   0   0  17  e   ortho  1592.073809   0.000391  38        g    sigma_g_plus
0   0   0   0   0   2   0   0  11  e   ortho  1604.957832   0.000266  44        g    sigma_g_plus
0   0   0   0   0   2   2   2  11  e   ortho  1614.166536   0.000503  54        g    delta_g
0   0   0   0   0   1   1   1  27  f   ortho  1621.141532   0.000384  75        u    pi_u
0   0   0   1   1   1   -1  0  15  f   ortho  1623.672319   0.000880  42        u    sigma_u_minus
0   0   0   1   1   1   1   2  15  f   ortho  1625.868759   0.000349  71        u    delta_u
0   0   0   2   2   0   0   2  18  f   ortho  1631.857211   0.000481  42        g    delta_g
0   0   0   1   1   0   0   1  29  e   ortho  1632.984162   0.000478  62        g    pi_g
0   0   0   0   0   2   2   2  12  f   ortho  1642.451269   0.000577  51        g    delta_g
0   0   0   1   1   1   -1  0  16  e   ortho  1648.910271   0.000232  58        u    sigma_u_plus
0   0   0   0   0   0   0   0  37  e   ortho  1651.151881   0.000332  59        g    sigma_g_plus
0   0   0   1   1   1   1   2  16  e   ortho  1663.721307   0.000289  72        u    delta_u
0   0   0   0   0   2   0   0  13  e   ortho  1663.952886   0.000345  50        g    sigma_g_plus
0   0   0   0   0   2   2   2  13  e   ortho  1673.215932   0.000535  48        g    delta_g
0   0   0   2   2   0   0   2  19  e   ortho  1675.316524   0.000459  40        g    delta_g
0   0   0   2   0   0   0   0  19  e   ortho  1679.601928   0.000432  32        g    sigma_g_plus
0   0   0   0   0   1   1   1  28  e   ortho  1683.349063   0.000343  77        u    pi_u
0   0   0   1   1   1   -1  0  17  f   ortho  1701.495852   0.001027  36        u    sigma_u_minus
0   0   0   1   1   1   1   2  17  f   ortho  1703.678699   0.000392  65        u    delta_u
0   0   0   0   0   2   2   2  14  f   ortho  1706.179348   0.000584  53        g    delta_g
0   0   0   1   1   0   0   1  30  f   ortho  1708.157484   0.000609  53        g    pi_g
0   0   0   2   2   0   0   2  20  f   ortho  1723.727004   0.000469  42        g    delta_g
0   0   0   1   1   1   -1  0  18  e   ortho  1731.397291   0.000234  51        u    sigma_u_plus
0   0   0   0   0   2   0   0  15  e   ortho  1732.361912   0.000265  44        g    sigma_g_plus
0   0   0   0   0   2   2   2  15  e   ortho  1741.717539   0.000512  50        g    delta_g
0   0   0   1   1   1   1   2  18  e   ortho  1746.311269   0.000372  60        u    delta_u
0   0   0   0   0   1   1   1  29  f   ortho  1755.482035   0.000399  57        u    pi_u
0   0   0   2   2   0   0   2  21  e   ortho  1771.497232   0.000521  38        g    delta_g
0   0   0   1   1   0   0   1  31  e   ortho  1776.001533   0.000595  50        g    pi_g
0   0   0   2   0   0   0   0  21  e   ortho  1776.581604   0.000445  32        g    sigma_g_plus
0   0   0   0   0   2   2   2  16  f   ortho  1779.336279   0.000628  44        g    delta_g
0   0   0   1   1   1   -1  0  19  f   ortho  1788.734953   0.000975  37        u    sigma_u_minus
0   0   0   1   1   1   1   2  19  f   ortho  1790.903001   0.000406  59        u    delta_u
0   0   0   0   0   2   0   0  17  e   ortho  1810.174326   0.000265  42        g    sigma_g_plus
0   0   0   0   0   2   2   2  17  e   ortho  1819.672460   0.000544  43        g    delta_g
0   0   0   0   0   1   1   1  30  e   ortho  1821.833916   0.000344  60        u    pi_u
0   0   0   1   1   1   -1  0  20  e   ortho  1823.272941   0.000258  53        u    sigma_u_plus
0   0   0   2   2   0   0   2  22  f   ortho  1824.995681   0.000501  33        g    delta_g
